Complex Sales Cloud L1 Helpdesk Tickets (Lead-to-Order Scope),,,,,,
,,,,,,
Ticket ID,Functional Area,Priority,Status,Subject / Summary,Detailed User Description (Problem),L1 Step-by-Step Resolution (How-To)
TS-0011,Quotes & Pricing,High,In Progress,PDF Generation fails on Quote: Image asset broken or missing access rights,"When I try to use the standard 'Create Quote PDF' feature on my quote record, the system generates a document but it completely leaves out our corporate logo, displaying a broken image icon instead. The rest of the table looks fine. How do I fix the template layout so our logo loads correctly for customers?","This happens when the corporate logo image stored in Salesforce Documents or Files is not marked for external visibility or has been deleted. 1. Go to Files/Documents and locate the logo file. 2. Ensure the file permissions are set to 'Publicly Available Image' or shared globally. 3. Copy the clean Document ID or Content Document URL. 4. Navigate to Setup > Quote Templates, edit the active layout, select the Image component, replace the broken asset reference path with the updated public URL, and save."
TS-0012,Orders & Fulfillment,Medium,Resolved,How to split a single Opportunity into multiple distinct Orders for separate distribution sites,"I have an opportunity with 10 different line items. The client wants 5 items shipped to their Chicago branch next month, and the other 5 items shipped to Miami in November. Since they require separate delivery tracking, how do I break down this single opportunity into two separate Salesforce Orders?","Salesforce allows creating multiple Orders from a single parent record. 1. Navigate to the Orders related list on the Opportunity and click 'New Order'. 2. Create the first Order for the Chicago site, setting the appropriate delivery date, and save. 3. Inside that Order, click 'Add Products', select the specific 5 items meant for Chicago, and input their quantities. 4. Go back to the Opportunity, click 'New Order' again, repeat for Miami, and select the remaining products. This maps multiple custom orders back to a unified pipeline transaction."
TS-0013,User Permissions / Sales,Low,New,Cannot edit Pricebook field on Opportunity after initial selection,"I accidentally selected the 'EMEA Enterprise Pricebook' for an Opportunity when I should have selected 'APAC Retail Pricebook'. Now, when I try to change it, the Pricebook field is greyed out and uneditable. How can I clear out this selection and pick the correct currency catalog?","Salesforce prevents changing an Opportunity's Pricebook if there are already products added under the current selection. To switch it: 1. Go to the Products related list on the Opportunity. 2. Click the action dropdown next to each product and select 'Delete' until the products list is completely empty. 3. Once all line items are deleted, return to the detail page or products header. The 'Choose Price Book' button or field will be unlocked and editable again."
TS-0014,Activity Management,Low,In Progress,Shared Activities configuration: How to log a meeting against multiple Contacts simultaneously,"I held a discovery call with a prospect company where 4 different contacts from their executive team attended. Right now, I can only seem to log the completed Event task against one contact lookup. How do I track this single meeting against all 4 contact timelines without manually rewriting the note 4 times?","This requires utilizing Salesforce's 'Shared Activities' feature (Allow Users to Relate Multiple Contacts to Tasks and Events). 1. Open the New Event/Task window. 2. In the 'Name' (WhoId) lookup field, select the first contact. 3. Notice the small '+ Add' or multi-select icon next to the search field. Click it. 4. You can now add up to 50 individual contact records to this single activity. When saved, the activity will replicate across all 4 individual contact history timelines while rolling up neatly to the parent Account."
TS-0015,Lead-to-Order / Contracts,High,New,Contract Status locked: Cannot transition Contract from Draft directly to Activated,"I am an account manager trying to finalize a contract (CTR-9982). The client signed the hard copy, so I am changing the status from 'Draft' to 'Activated'. When I click save, I get a system message: 'A contract cannot be activated until it has been reviewed and approved by Legal.' There is no approval submit button. How do I process this?","This indicates an organization-wide validation rule or a customized status path dependency matching your business governance rules. 1. Check if there is a 'Legal Approved' checkbox field on the Contract layout. 2. If it is unchecked, verify if a separate approval history process needs to be triggered by changing the stage to 'In Review' first. 3. Instruct the user to move the contract to 'In Review', which automates notification to the Legal queue. Once Legal ticks their checkbox, the status path unlocks to allow manual or automated Activation."
TS-0016,Data Quality / Duplication,Low,Resolved,Lead Duplication alert blocking valid cross-sell entry,"I am trying to log a new inbound lead for an existing contact who wants to purchase a totally separate product line. Every time I hit save, Salesforce blocks me entirely with an alert stating that a duplicate record exists and refuses to save it. How can I bypass this rule to capture this cross-sell interest?","The system's Duplicate Rules are configured to 'Block' instead of 'Alert/Allow' on matching names or emails. 1. Review the matching record link provided in the warning text to confirm if it's the exact same individual. 2. Since it's a new separate sales interest, rather than creating a duplicate Lead, standard process dictates navigating directly to the pre-existing Account/Contact record and creating a brand new 'Opportunity' directly from their profile to track the cross-sell, bypassing unnecessary lead pollution."
TS-0017,Opportunity Management,Medium,New,Opportunity split revenue allocations calculating incorrect percentages,"I am co-selling an opportunity with a colleague. We set up an Opportunity Split where I should get 70% credit and he gets 30%. However, when we look at the splitting layout, it is throwing an error that the total must equal 100%, even though our math is correct. It seems to be counting a hidden 100% overlay split allocation somewhere. Help!","Salesforce supports multiple split types (e.g., Revenue Splits which must equal 100%, and Overlay Splits which can exceed 100%). 1. Check which section you are editing. You are likely adding your colleague to the standard Revenue Split list without decreasing your own default allocation down from 100% first. 2. Edit your own allocation percentage to 70% first, then add the colleague row at 30%, ensuring the cumulative sum equals exactly 100.00%. Save changes."
TS-0018,Lead-to-Order / Quotes,High,Assigned,Pricing discrepancy: Total Quote price doesn't match cumulative Line Item amounts due to tax calculation,"On Quote QT-5561, the individual line items add up to exactly $10,000. However, the 'Grand Total' summary field at the bottom displays $10,850. There are no manual discounts or shipping fees applied in the fields. How is this extra $850 being appended, and how can I view or adjust the line item parameters?","This indicates an active automated Tax Calculation layout or integration running on the Quote object. 1. Check the 'State/Postal Code' fields on the Quote's Billing Address. 2. If an address is entered, the system calls an internal calculation matrix or external handler (like Avalara/Vertex) to auto-append regional sales tax (e.g., 8.5%). 3. To modify or waive this tax, locate the 'Tax Exempt' checkbox or 'Tax Override' reason field on the Quote header, supply the appropriate credential, and click save to re-calculate."
TS-0019,Orders & Fulfillment,Low,Resolved,How to reduce an existing Order quantity (Creating a Reduction Order),"A customer ordered 50 units of our product via ORD-00231, which is already 'Activated'. They just called to cut their order down to 40 units before shipping. Because the order is activated, I can't modify the quantity field directly. What is the standard procedure to reduce line items on an active order?","To reduce quantities on activated records without violating tracking compliance, use Reduction Orders: 1. Navigate to the activated Order record. 2. Click the 'Reduce Order' button (or standard action dropdown). 3. Enter the Reduction Order details (Effective Date, etc.) and save. 4. In the Reduction Order Products related list, select the items being returned/reduced, and input the quantity to reduce (e.g., enter 10 to drop the balance from 50 down to 40). 5. Activate the Reduction Order to sync back to inventory."
TS-0020,Campaign Management,Low,New,Mass updating Lead/Contact Member Statuses inside a marketing campaign,I have a marketing Campaign with over 500 members currently in 'Sent' status. We just completed the webinar and I have a CSV list of the 150 people who actually attended. How do I mass update just those 150 specific members to 'Attended' status in Salesforce without clicking into each individual member profile?,"To mass update member statuses efficiently without data loader tools: 1. Open the Campaign record. 2. Click the 'Manage Campaign Members' dropdown button and select 'Import Leads and Contacts' or 'Data Import Wizard'. 3. Select 'Update Campaign Member Statuses'. 4. Upload your CSV containing the 150 emails/IDs. 5. Map the status field destination to 'Attended', match by Email or Salesforce ID, and run the wizard. This batch updates the status records safely within 2 minutes."
